question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
5,NTSB,1.0,1.0,1.0,1.0,1.0,1.0
6,NorthernPlainsFireManagement,1.0,0.5,0.6666666666666666,1.0,0.2,0.33333333333333337
7,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
8,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
10,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
15,KlamathInvasiveSpecies,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
16,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
17,ASIS_20161108_HerpInv_Database,0.0,0.0,0.0,0.0,0.0,0.0
18,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
19,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
20,KlamathInvasiveSpecies,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,1.0,0.2857142857142857
21,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
22,SBODemoUS-Finance,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
23,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.75,0.8571428571428571
24,CratersWildlifeObservations,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
25,NYSED_SRC2022,0.0,0.0,0.0,0.0,0.0,0.0
26,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
27,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.25,0.4,0.0,0.0,0.0
29,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,1.0,1.0,1.0
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
33,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
34,NTSB,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
35,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,1.0,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333
38,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
39,ATBI,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
42,SBODemoUS-Sales Opportunities,0.0,0.0,0.0,0.0,0.0,0.0
